followers_count,following_count,tweet_count,listed_count,date_collected
119718951,133,20930,104096,2022-12-02T13:15:03
119721838,133,20930,104101,2022-12-02T13:30:02
119724750,133,20930,104103,2022-12-02T13:45:02
119727788,133,20930,104105,2022-12-02T14:00:02
119730715,133,20930,104108,2022-12-02T14:15:02
119733794,133,20930,104100,2022-12-02T14:30:02
119736814,133,20930,104105,2022-12-02T14:45:03
119739801,133,20930,104108,2022-12-02T15:00:03
119740343,133,20930,104111,2022-12-02T15:15:03
119743270,133,20930,104116,2022-12-02T15:30:03
119746234,133,20930,104119,2022-12-02T15:45:02
119749302,133,20930,104121,2022-12-02T16:00:03
119752349,133,20930,104125,2022-12-02T16:15:02
119755180,133,20931,104112,2022-12-02T16:30:02
119757881,133,20933,104114,2022-12-02T16:45:03
119751473,133,20933,104114,2022-12-02T17:00:03
119754089,133,20933,104116,2022-12-02T17:15:03
119756923,133,20933,104118,2022-12-02T17:30:03
119759798,133,20933,104121,2022-12-02T17:45:03
119762662,133,20935,104123,2022-12-02T18:00:02
119765390,133,20935,104126,2022-12-02T18:15:02
119768139,135,20936,104105,2022-12-02T18:30:02
119762288,135,20936,104106,2022-12-02T18:45:03
119764971,135,20937,104108,2022-12-02T19:00:02
119767468,135,20939,104110,2022-12-02T19:15:03
119769836,135,20941,104115,2022-12-02T19:30:03
119772285,135,20942,104120,2022-12-02T19:45:03
119774682,135,20943,104123,2022-12-02T20:00:02
119776748,135,20946,104123,2022-12-02T20:15:03
119778809,135,20948,104112,2022-12-02T20:30:02
119778628,135,20949,104112,2022-12-02T20:45:02
119781176,135,20951,104117,2022-12-02T21:00:03
119785039,135,20951,104134,2022-12-02T21:15:03
119789602,135,20952,104147,2022-12-02T21:30:02
119795011,135,20953,104162,2022-12-02T21:45:02
119801666,135,20953,104184,2022-12-02T22:00:02
119813538,135,20953,104145,2022-12-02T22:15:02
119822604,135,20954,104167,2022-12-02T22:30:03
119825949,135,20954,104192,2022-12-02T22:45:03
119834721,135,20954,104217,2022-12-02T23:00:02
119847140,135,20954,104243,2022-12-02T23:15:03
119857237,135,20954,104269,2022-12-02T23:30:02
119866577,135,20955,104287,2022-12-02T23:45:02
119876305,135,20955,104318,2022-12-03T00:00:03
119884729,135,20956,104220,2022-12-03T00:15:02
119892926,135,20956,104236,2022-12-03T00:30:03
119898547,135,20957,104239,2022-12-03T00:45:03
119905229,135,20957,104249,2022-12-03T01:00:02
119911856,135,20957,104265,2022-12-03T01:15:03
119917733,135,20959,104277,2022-12-03T01:30:02
119923114,135,20960,104289,2022-12-03T01:45:03
119928663,135,20962,104295,2022-12-03T02:00:02
119934572,135,20961,104259,2022-12-03T02:15:02
119895063,136,20963,104274,2022-12-03T02:30:03
119900416,136,20964,104289,2022-12-03T02:45:02
119905549,136,20965,104293,2022-12-03T03:00:02
119910508,136,20967,104300,2022-12-03T03:15:02
119915353,136,20967,104307,2022-12-03T03:30:02
119919732,136,20967,104319,2022-12-03T03:45:03
119924092,136,20967,104325,2022-12-03T04:00:02
119782941,136,20967,104274,2022-12-03T04:15:03
